,Epithelial,Immune Cells
0,Ttr,Cd74
1,Ecrg4,Tmsb4x
2,Cox8a,H2-Aa
3,Cox6c,H2-Ab1
4,Mt3,H2-Eb1
5,Cox7a2,C1qa
6,Atp5g1,Lyz2
7,Ptgds,C1qb
8,Gng5,Il1b
9,Pebp1,Apoe
10,Chchd10,Cxcl2
11,Atp5j,Ctss
12,Uqcrb,Junb
13,Uqcr11,C1qc
14,Spint2,Malat1
15,Gpx4,H3f3b
16,Hemk1,Fcer1g
17,Atp5mpl,Ftl1
18,Uqcr10,Hspa1a
19,Ckb,Ccl4
20,Ndufa4,Hspa1b
21,2900040C04Rik,Tyrobp
22,Atp5d,H2-K1
23,Dbi,Nfkbia
24,Cox4i1,Jun
25,Prdx5,Fos
26,Arl6ip1,Rpl32
27,Ndufb7,Actb
28,Atp5md,Atf3
29,Rbp1,H2-D1
30,Ifi27,Hsp90aa1
31,Atp5h,B2m
32,Ndufs5,Klf2
33,Enpp2,Ifrd1
34,Ndufb11,Rpsa
35,Ppia,Ctsh
36,Calml4,Btg2
37,Mdh1,Cd14
38,Ndufa2,Cd52
39,Atp5l,Dusp1
40,Ndufc1,Fau
41,Bsg,Rps5
42,Dynlrb1,Fth1
43,Clu,Zfp36
44,Ndufa11,Dnaja1
45,Cox7b,Ly6e
46,Cox5b,Serinc3
47,Ndufa3,Ifi27l2a
48,Hcfc1r1,Selenop
49,Uqcrh,Rpl27a
50,Rps27l,Rps11
51,Atp5e,Srgn
52,Atp5j2,Jund
53,Igfbp2,Cd83
54,Ndufb5,Rps24
55,Cd63,Cyba
56,Ldhb,Ly86
57,Slc25a4,Ccl3
58,Prdx1,Rps4x
59,F5,Rps9
60,Ndufv3,Rpl19
61,Timp3,Cebpb
62,Cox6a1,Zfand5
63,Dad1,Rpl12
64,Akr1a1,Mcl1
65,Tomm6,Rpl22
66,Clic6,Klf6
67,Ndufa7,Aif1
68,Cox6b1,Ms4a7
69,Fxyd1,Rgs1
70,Lbp,Csf1r
71,Pkm,Gadd45b
72,Micos10,Psme1
73,Tspan3,Spi1
74,Cryab,Fcrls
75,Rpl41,Cybb
76,Park7,H2-DMa
77,Slc22a17,Dnajb1
78,Ndufs6,Ctsc
79,Ociad2,Cfl1
80,Smdt1,Ubc
81,Aco2,Tpt1
82,Uqcrc1,Laptm5
83,D8Ertd738e,Actg1
84,Trpm3,Nfkbiz
